,sentence no,sentence,word,tag
23,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",a,OTHER
24,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",Dragon,B-MOVE
25,2,"Dragonite is a devastating sweeper with Supersonic Skystrike, capable of breaking through defensive staples like Clefable, Tapu Fini, Ferrothorn, and Gliscor after a Dragon Dance",Dance,I-MOVE
26,3,"It can select from great priority, additional coverage, and recovery to best fit its team",It,OTHER
27,3,"It can select from great priority, additional coverage, and recovery to best fit its team",can,OTHER
28,3,"It can select from great priority, additional coverage, and recovery to best fit its team",select,OTHER
29,3,"It can select from great priority, additional coverage, and recovery to best fit its team",from,OTHER
30,3,"It can select from great priority, additional coverage, and recovery to best fit its team",great,OTHER
31,3,"It can select from great priority, additional coverage, and recovery to best fit its team","priority,",OTHER
32,3,"It can select from great priority, additional coverage, and recovery to best fit its team",additional,OTHER
33,3,"It can select from great priority, additional coverage, and recovery to best fit its team","coverage,",OTHER
34,3,"It can select from great priority, additional coverage, and recovery to best fit its team",and,OTHER
35,3,"It can select from great priority, additional coverage, and recovery to best fit its team",recovery,OTHER
36,3,"It can select from great priority, additional coverage, and recovery to best fit its team",to,OTHER
37,3,"It can select from great priority, additional coverage, and recovery to best fit its team",best,OTHER
38,3,"It can select from great priority, additional coverage, and recovery to best fit its team",fit,OTHER
39,3,"It can select from great priority, additional coverage, and recovery to best fit its team",its,OTHER
40,3,"It can select from great priority, additional coverage, and recovery to best fit its team",team,OTHER
41,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",Dragonite's,B-POKEMON
42,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",ability,OTHER
43,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",Multiscale,B-ABILITY
44,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",gives,OTHER
45,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",it,OTHER
46,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",an,OTHER
47,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",easy,OTHER
48,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",time,OTHER
49,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",setting,OTHER
50,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger","up,",OTHER
51,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",but,OTHER
52,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",Stealth,B-MOVE
53,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",Rock,I-MOVE
54,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",takes,OTHER
55,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",away,OTHER
56,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",both,OTHER
57,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",Multiscale's,B-ABILITY
58,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",effect,OTHER
59,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",and,OTHER
60,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",a,OTHER
61,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",chunk,OTHER
62,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",of,OTHER
63,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",Dragonite's,B-POKEMON
64,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger","health,",OTHER
65,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",so,OTHER
66,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",Dragonite,B-POKEMON
67,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",requires,OTHER
68,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",good,OTHER
69,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",support,OTHER
70,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",against,OTHER
71,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",entry,OTHER
72,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",hazards,OTHER
73,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",to,OTHER
74,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",function,OTHER
75,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger","well,",OTHER
76,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",either,OTHER
77,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",through,OTHER
78,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",exerting,OTHER
79,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",intense,OTHER
80,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",offensive,OTHER
81,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",pressure,OTHER
82,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",or,OTHER
83,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",with,OTHER
84,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",an,OTHER
85,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",emergency,OTHER
86,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",spinner,OTHER
87,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",or,OTHER
88,4,"Dragonite's ability Multiscale gives it an easy time setting up, but Stealth Rock takes away both Multiscale's effect and a chunk of Dragonite's health, so Dragonite requires good support against entry hazards to function well, either through exerting intense offensive pressure or with an emergency spinner or Defogger",Defogger,OTHER
89,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",A,OTHER
90,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",subpar,OTHER
91,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",Speed,OTHER
92,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",tier,OTHER
93,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",leaves,OTHER
94,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",Dragonite,B-POKEMON
95,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",easily,OTHER
96,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",revenge,OTHER
97,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed","killed,",OTHER
98,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",especially,OTHER
99,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",if,OTHER
100,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",it's,OTHER
101,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",chipped,OTHER
102,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",while,OTHER
103,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",setting,OTHER
104,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",up,OTHER
105,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",or,OTHER
106,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",if,OTHER
107,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",its,OTHER
108,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",team,OTHER
109,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",is,OTHER
110,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",unable,OTHER
111,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",to,OTHER
112,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",damage,OTHER
113,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",revenge,OTHER
114,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",killers,OTHER
115,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",into,OTHER
116,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",the,OTHER
117,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",range,OTHER
118,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",of,OTHER
119,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",Extreme,B-MOVE
120,5,"A subpar Speed tier leaves Dragonite easily revenge killed, especially if it's chipped while setting up or if its team is unable to damage revenge killers into the range of Extreme Speed",Speed,I-MOVE
121,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage","Additionally,",OTHER
122,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",once,OTHER
123,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",Supersonic,B-MOVE
124,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",Skystrike,I-MOVE
125,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",is,OTHER
126,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage","burned,",OTHER
127,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",Fly,B-MOVE
128,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",can,OTHER
129,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",be,OTHER
130,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",played,OTHER
131,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage","around,",OTHER
132,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",leaving,OTHER
133,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",Dragonite,B-POKEMON
134,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",reliant,OTHER
135,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",on,OTHER
136,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",non-STAB,OTHER
137,6,"Additionally, once Supersonic Skystrike is burned, Fly can be played around, leaving Dragonite reliant on non-STAB coverage",coverage,OTHER
138,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options","Finally,",OTHER
139,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",Dragonite,B-POKEMON
140,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",faces,OTHER
141,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",serious,OTHER
142,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",competition,OTHER
143,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",from,OTHER
144,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",Mega,B-POKEMON
145,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",Charizard,I-POKEMON
146,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",X,I-POKEMON
147,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",and,OTHER
148,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",even,OTHER
149,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options","Gyarados,",B-POKEMON
150,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",with,OTHER
151,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",both,OTHER
152,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",being,OTHER
153,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",more,OTHER
154,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",consistent,OTHER
155,7,"Finally, Dragonite faces serious competition from Mega Charizard X and even Gyarados, with both being more consistent options",options,OTHER
156,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",As,OTHER
157,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",a,OTHER
158,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams","result,",OTHER
159,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",Dragonite,B-POKEMON
160,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",usually,OTHER
161,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",finds,OTHER
162,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",itself,OTHER
163,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",relegated,OTHER
164,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",to,OTHER
165,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",hyper,OTHER
166,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",offensive,OTHER
167,8,"As a result, Dragonite usually finds itself relegated to hyper offensive teams",teams,OTHER
168,9,Moves,Moves,OTHER
169,10,"Dragon Dance lets Dragonite present itself as a threat, demanding an immediate answer from the opponent to avoid letting it get to +2 Speed and roll through any possible revenge killing options",Dragon,B-MOVE
170,10,"Dragon Dance lets Dragonite present itself as a threat, demanding an immediate answer from the opponent to avoid letting it get to +2 Speed and roll through any possible revenge killing options",Dance,I-MOVE
171,10,"Dragon Dance lets Dragonite present itself as a threat, demanding an immediate answer from the opponent to avoid letting it get to +2 Speed and roll through any possible revenge killing options",lets,OTHER
