og_#,#,,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp.Def,Speed
b'022 FearowNormal Flying 442 65 90 65 61 61 100',025 PikachuElectric  320 35 55 40 50 50 90,,,,,,,022 ,,,
b'023 EkansPoison  288 35 60 44 40 54 55',026 Raichu Alolan RaichuElectric Psychic 485 60 85 50 95 85 110,,,,,,,023 ,,,
b'024 ArbokPoison  448 60 95 69 65 79 80',026 RaichuElectric  485 60 90 55 90 80 110,,,,,,,024 ,,,
b'025 Pikachu Partner PikachuElectric  430 45 80 50 75 60 120',027 Sandshrew Alolan SandshrewIce Steel 300 50 75 90 10 35 40,,,,,,,025 ,,,
b'025 PikachuElectric  320 35 55 40 50 50 90',027 SandshrewGround  300 50 75 85 20 30 40,,,,,,,025 ,,,
b'026 Raichu Alolan RaichuElectric Psychic 485 60 85 50 95 85 110',028 Sandslash Alolan SandslashIce Steel 450 75 100 120 25 65 65,,,,,,,026 ,,,
b'026 RaichuElectric  485 60 90 55 90 80 110',028 SandslashGround  450 75 100 110 45 55 65,,,,,,,026 ,,,
b'027 Sandshrew Alolan SandshrewIce Steel 300 50 75 90 10 35 40',029 Nidoran\xe2\x99\x80Poison  275 55 47 52 40 40 41,,,,,,,027 ,,,
b'027 SandshrewGround  300 50 75 85 20 30 40',030 NidorinaPoison  365 70 62 67 55 55 56,,,,,,,027 ,,,
b'028 Sandslash Alolan SandslashIce Steel 450 75 100 120 25 65 65',031 NidoqueenPoison Ground 505 90 92 87 75 85 76,,,,,,,028 ,,,
b'028 SandslashGround  450 75 100 110 45 55 65',032 Nidoran\xe2\x99\x82Poison  273 46 57 40 40 40 50,,,,,,,028 ,,,
b'029 Nidoran\xe2\x99\x80Poison  275 55 47 52 40 40 41',033 NidorinoPoison  365 61 72 57 55 55 65,,,,,,,029 ,,,
b'030 NidorinaPoison  365 70 62 67 55 55 56',034 NidokingPoison Ground 505 81 102 77 85 75 85,,,,,,,030 ,,,
b'031 NidoqueenPoison Ground 505 90 92 87 75 85 76',035 ClefairyFairy  323 70 45 48 60 65 35,,,,,,,031 ,,,
b'032 Nidoran\xe2\x99\x82Poison  273 46 57 40 40 40 50',036 ClefableFairy  483 95 70 73 95 90 60,,,,,,,032 ,,,
b'033 NidorinoPoison  365 61 72 57 55 55 65',037 Vulpix Alolan VulpixIce  299 38 41 40 50 65 65,,,,,,,033 ,,,
b'034 NidokingPoison Ground 505 81 102 77 85 75 85',037 VulpixFire  299 38 41 40 50 65 65,,,,,,,034 ,,,
b'035 ClefairyFairy  323 70 45 48 60 65 35',038 Ninetales Alolan NinetalesIce Fairy 505 73 67 75 81 100 109,,,,,,,035 ,,,
b'036 ClefableFairy  483 95 70 73 95 90 60',038 NinetalesFire  505 73 76 75 81 100 100,,,,,,,036 ,,,
b'037 Vulpix Alolan VulpixIce  299 38 41 40 50 65 65',039 JigglypuffNormal Fairy 270 115 45 20 45 25 20,,,,,,,037 ,,,
b'037 VulpixFire  299 38 41 40 50 65 65',040 WigglytuffNormal Fairy 435 140 70 45 85 50 45,,,,,,,037 ,,,
b'038 Ninetales Alolan NinetalesIce Fairy 505 73 67 75 81 100 109',041 ZubatPoison Flying 245 40 45 35 30 40 55,,,,,,,038 ,,,
b'038 NinetalesFire  505 73 76 75 81 100 100',042 GolbatPoison Flying 455 75 80 70 65 75 90,,,,,,,038 ,,,
b'039 JigglypuffNormal Fairy 270 115 45 20 45 25 20',043 OddishGrass Poison 320 45 50 55 75 65 30,,,,,,,039 ,,,
b'040 WigglytuffNormal Fairy 435 140 70 45 85 50 45',044 GloomGrass Poison 395 60 65 70 85 75 40,,,,,,,040 ,,,
b'041 ZubatPoison Flying 245 40 45 35 30 40 55',045 VileplumeGrass Poison 490 75 80 85 110 90 50,,,,,,,041 ,,,
b'042 GolbatPoison Flying 455 75 80 70 65 75 90',046 ParasBug Grass 285 35 70 55 45 55 25,,,,,,,042 ,,,
b'043 OddishGrass Poison 320 45 50 55 75 65 30',047 ParasectBug Grass 405 60 95 80 60 80 30,,,,,,,043 ,,,
b'044 GloomGrass Poison 395 60 65 70 85 75 40',048 VenonatBug Poison 305 60 55 50 40 55 45,,,,,,,044 ,,,
b'045 VileplumeGrass Poison 490 75 80 85 110 90 50',049 VenomothBug Poison 450 70 65 60 90 75 90,,,,,,,045 ,,,
b'046 ParasBug Grass 285 35 70 55 45 55 25',050 Diglett Alolan DiglettGround Steel 265 10 55 30 35 45 90,,,,,,,046 ,,,
b'047 ParasectBug Grass 405 60 95 80 60 80 30',050 DiglettGround  265 10 55 25 35 45 95,,,,,,,047 ,,,
b'048 VenonatBug Poison 305 60 55 50 40 55 45',051 Dugtrio Alolan DugtrioGround Steel 425 35 100 60 50 70 110,,,,,,,048 ,,,
b'049 VenomothBug Poison 450 70 65 60 90 75 90',051 DugtrioGround  425 35 100 50 50 70 120,,,,,,,049 ,,,
b'050 Diglett Alolan DiglettGround Steel 265 10 55 30 35 45 90',052 Meowth Alolan MeowthDark  290 40 35 35 50 40 90,,,,,,,050 ,,,
b'050 DiglettGround  265 10 55 25 35 45 95',052 Meowth Galarian MeowthSteel  290 50 65 55 40 40 40,,,,,,,050 ,,,
b'051 Dugtrio Alolan DugtrioGround Steel 425 35 100 60 50 70 110',052 MeowthNormal  290 40 45 35 40 40 90,,,,,,,051 ,,,
b'051 DugtrioGround  425 35 100 50 50 70 120',053 Persian Alolan PersianDark  440 65 60 60 75 65 115,,,,,,,051 ,,,
b'052 Meowth Alolan MeowthDark  290 40 35 35 50 40 90',053 PersianNormal  440 65 70 60 65 65 115,,,,,,,052 ,,,
b'052 Meowth Galarian MeowthSteel  290 50 65 55 40 40 40',054 PsyduckWater  320 50 52 48 65 50 55,,,,,,,052 ,,,
b'052 MeowthNormal  290 40 45 35 40 40 90',055 GolduckWater  500 80 82 78 95 80 85,,,,,,,052 ,,,
b'053 Persian Alolan PersianDark  440 65 60 60 75 65 115',056 MankeyFighting  305 40 80 35 35 45 70,,,,,,,053 ,,,
b'053 PersianNormal  440 65 70 60 65 65 115',057 PrimeapeFighting  455 65 105 60 60 70 95,,,,,,,053 ,,,
b'054 PsyduckWater  320 50 52 48 65 50 55',058 Growlithe Hisuian GrowlitheFire Rock 350 60 75 45 65 50 55,,,,,,,054 ,,,
b'055 GolduckWater  500 80 82 78 95 80 85',058 GrowlitheFire  350 55 70 45 70 50 60,,,,,,,055 ,,,
b'056 MankeyFighting  305 40 80 35 35 45 70',059 Arcanine Hisuian ArcanineFire Rock 555 95 115 80 95 80 90,,,,,,,056 ,,,
b'057 PrimeapeFighting  455 65 105 60 60 70 95',059 ArcanineFire  555 90 110 80 100 80 95,,,,,,,057 ,,,
b'058 Growlithe Hisuian GrowlitheFire Rock 350 60 75 45 65 50 55',060 PoliwagWater  300 40 50 40 40 40 90,,,,,,,058 ,,,
b'058 GrowlitheFire  350 55 70 45 70 50 60',061 PoliwhirlWater  385 65 65 65 50 50 90,,,,,,,058 ,,,
b'059 Arcanine Hisuian ArcanineFire Rock 555 95 115 80 95 80 90',062 PoliwrathWater Fighting 510 90 95 95 70 90 70,,,,,,,059 ,,,
b'059 ArcanineFire  555 90 110 80 100 80 95',063 AbraPsychic  310 25 20 15 105 55 90,,,,,,,059 ,,,
b'060 PoliwagWater  300 40 50 40 40 40 90',064 KadabraPsychic  400 40 35 30 120 70 105,,,,,,,060 ,,,
b'061 PoliwhirlWater  385 65 65 65 50 50 90',065 AlakazamPsychic  500 55 50 45 135 95 120,,,,,,,061 ,,,
b'062 PoliwrathWater Fighting 510 90 95 95 70 90 70',065 Mega Alakazam Psychic  600 55 50 65 175 105 150,,,,,,,062 ,,,
b'063 AbraPsychic  310 25 20 15 105 55 90',066 MachopFighting  305 70 80 50 35 35 35,,,,,,,063 ,,,
b'064 KadabraPsychic  400 40 35 30 120 70 105',067 MachokeFighting  405 80 100 70 50 60 45,,,,,,,064 ,,,
b'065 AlakazamPsychic  500 55 50 45 135 95 120',068 MachampFighting  505 90 130 80 65 85 55,,,,,,,065 ,,,
b'065 Mega Alakazam Psychic  600 55 50 65 175 105 150',069 BellsproutGrass Poison 300 50 75 35 70 30 40,,,,,,,065 ,,,
b'066 MachopFighting  305 70 80 50 35 35 35',070 WeepinbellGrass Poison 390 65 90 50 85 45 55,,,,,,,066 ,,,
b'067 MachokeFighting  405 80 100 70 50 60 45',071 VictreebelGrass Poison 490 80 105 65 100 70 70,,,,,,,067 ,,,
b'068 MachampFighting  505 90 130 80 65 85 55',072 TentacoolWater Poison 335 40 40 35 50 100 70,,,,,,,068 ,,,
b'069 BellsproutGrass Poison 300 50 75 35 70 30 40',073 TentacruelWater Poison 515 80 70 65 80 120 100,,,,,,,069 ,,,
b'070 WeepinbellGrass Poison 390 65 90 50 85 45 55',074 Geodude Alolan GeodudeRock Electric 300 40 80 100 30 30 20,,,,,,,070 ,,,
b'071 VictreebelGrass Poison 490 80 105 65 100 70 70',074 GeodudeRock Ground 300 40 80 100 30 30 20,,,,,,,071 ,,,
b'072 TentacoolWater Poison 335 40 40 35 50 100 70',075 Graveler Alolan GravelerRock Electric 390 55 95 115 45 45 35,,,,,,,072 ,,,
b'073 TentacruelWater Poison 515 80 70 65 80 120 100',075 GravelerRock Ground 390 55 95 115 45 45 35,,,,,,,073 ,,,
b'074 Geodude Alolan GeodudeRock Electric 300 40 80 100 30 30 20',076 Golem Alolan GolemRock Electric 495 80 120 130 55 65 45,,,,,,,074 ,,,
b'074 GeodudeRock Ground 300 40 80 100 30 30 20',076 GolemRock Ground 495 80 120 130 55 65 45,,,,,,,074 ,,,
b'075 Graveler Alolan GravelerRock Electric 390 55 95 115 45 45 35',077 Ponyta Galarian PonytaPsychic  410 50 85 55 65 65 90,,,,,,,075 ,,,
b'075 GravelerRock Ground 390 55 95 115 45 45 35',077 PonytaFire  410 50 85 55 65 65 90,,,,,,,075 ,,,
b'076 Golem Alolan GolemRock Electric 495 80 120 130 55 65 45',078 Rapidash Galarian RapidashPsychic Fairy 500 65 100 70 80 80 105,,,,,,,076 ,,,
b'076 GolemRock Ground 495 80 120 130 55 65 45',078 RapidashFire  500 65 100 70 80 80 105,,,,,,,076 ,,,
b'077 Ponyta Galarian PonytaPsychic  410 50 85 55 65 65 90',079 Slowpoke Galarian SlowpokePsychic  315 90 65 65 40 40 15,,,,,,,077 ,,,
b'077 PonytaFire  410 50 85 55 65 65 90',079 SlowpokeWater Psychic 315 90 65 65 40 40 15,,,,,,,077 ,,,
b'078 Rapidash Galarian RapidashPsychic Fairy 500 65 100 70 80 80 105',080 Mega Slowbro Water Psychic 590 95 75 180 130 80 30,,,,,,,078 ,,,
b'078 RapidashFire  500 65 100 70 80 80 105',080 Slowbro Galarian SlowbroPoison Psychic 490 95 100 95 100 70 30,,,,,,,078 ,,,
b'079 Slowpoke Galarian SlowpokePsychic  315 90 65 65 40 40 15',080 SlowbroWater Psychic 490 95 75 110 100 80 30,,,,,,,079 ,,,
b'079 SlowpokeWater Psychic 315 90 65 65 40 40 15',081 MagnemiteElectric Steel 325 25 35 70 95 55 45,,,,,,,079 ,,,
b'080 Mega Slowbro Water Psychic 590 95 75 180 130 80 30',082 MagnetonElectric Steel 465 50 60 95 120 70 70,,,,,,,080 ,,,
b'080 Slowbro Galarian SlowbroPoison Psychic 490 95 100 95 100 70 30',083 Farfetch'd Galarian Farfetch'dFighting  377 52 95 55 58 62 55,,,,,,,080 ,,,
b'080 SlowbroWater Psychic 490 95 75 110 100 80 30',083 Farfetch'dNormal Flying 377 52 90 55 58 62 60,,,,,,,080 ,,,
b'081 MagnemiteElectric Steel 325 25 35 70 95 55 45',084 DoduoNormal Flying 310 35 85 45 35 35 75,,,,,,,081 ,,,
b'082 MagnetonElectric Steel 465 50 60 95 120 70 70',085 DodrioNormal Flying 470 60 110 70 60 60 110,,,,,,,082 ,,,
b'084 DoduoNormal Flying 310 35 85 45 35 35 75',086 SeelWater  325 65 45 55 45 70 45,,,,,,,084 ,,,
b'085 DodrioNormal Flying 470 60 110 70 60 60 110',087 DewgongWater Ice 475 90 70 80 70 95 70,,,,,,,085 ,,,
b'086 SeelWater  325 65 45 55 45 70 45',088 Grimer Alolan GrimerPoison Dark 325 80 80 50 40 50 25,,,,,,,086 ,,,
b'087 DewgongWater Ice 475 90 70 80 70 95 70',088 GrimerPoison  325 80 80 50 40 50 25,,,,,,,087 ,,,
b'088 Grimer Alolan GrimerPoison Dark 325 80 80 50 40 50 25',089 Muk Alolan MukPoison Dark 500 105 105 75 65 100 50,,,,,,,088 ,,,
b'088 GrimerPoison  325 80 80 50 40 50 25',089 MukPoison  500 105 105 75 65 100 50,,,,,,,088 ,,,
b'089 Muk Alolan MukPoison Dark 500 105 105 75 65 100 50',090 ShellderWater  305 30 65 100 45 25 40,,,,,,,089 ,,,
b'089 MukPoison  500 105 105 75 65 100 50',091 CloysterWater Ice 525 50 95 180 85 45 70,,,,,,,089 ,,,
b'090 ShellderWater  305 30 65 100 45 25 40',092 GastlyGhost Poison 310 30 35 30 100 35 80,,,,,,,090 ,,,
b'091 CloysterWater Ice 525 50 95 180 85 45 70',093 HaunterGhost Poison 405 45 50 45 115 55 95,,,,,,,091 ,,,
b'092 GastlyGhost Poison 310 30 35 30 100 35 80',094 GengarGhost Poison 500 60 65 60 130 75 110,,,,,,,092 ,,,
b'093 HaunterGhost Poison 405 45 50 45 115 55 95',094 Mega Gengar Ghost Poison 600 60 65 80 170 95 130,,,,,,,093 ,,,
b'094 GengarGhost Poison 500 60 65 60 130 75 110',095 OnixRock Ground 385 35 45 160 30 45 70,,,,,,,094 ,,,
b'094 Mega Gengar Ghost Poison 600 60 65 80 170 95 130',096 DrowzeePsychic  328 60 48 45 43 90 42,,,,,,,094 ,,,
b'095 OnixRock Ground 385 35 45 160 30 45 70',097 HypnoPsychic  483 85 73 70 73 115 67,,,,,,,095 ,,,
b'096 DrowzeePsychic  328 60 48 45 43 90 42',098 KrabbyWater  325 30 105 90 25 25 50,,,,,,,096 ,,,
b'097 HypnoPsychic  483 85 73 70 73 115 67',099 KinglerWater  475 55 130 115 50 50 75,,,,,,,097 ,,,
b'098 KrabbyWater  325 30 105 90 25 25 50',100 Voltorb Hisuian VoltorbElectric Grass 330 40 30 50 55 55 100,,,,,,,098 ,,,
b'099 KinglerWater  475 55 130 115 50 50 75',100 VoltorbElectric  330 40 30 50 55 55 100,,,,,,,099 ,,,
b'100 Voltorb Hisuian VoltorbElectric Grass 330 40 30 50 55 55 100',1000 GholdengoSteel Ghost 550 87 60 95 133 91 84,,,,,,,100 ,,,
b'100 VoltorbElectric  330 40 30 50 55 55 100',1001 Wo-ChienDark Grass 570 85 85 100 95 135 70,,,,,,,100 ,,,
b'1000 GholdengoSteel Ghost 550 87 60 95 133 91 84',1002 Chien-PaoDark Ice 570 80 120 80 90 65 135,,,,,,,1000,,,
b'1001 Wo-ChienDark Grass 570 85 85 100 95 135 70',1003 Ting-LuDark Ground 570 155 110 125 55 80 45,,,,,,,1001,,,
b'1002 Chien-PaoDark Ice 570 80 120 80 90 65 135',1004 Chi-YuDark Fire 570 55 80 80 135 120 100,,,,,,,1002,,,
b'1003 Ting-LuDark Ground 570 155 110 125 55 80 45',1005 Roaring MoonDragon Dark 590 105 139 71 55 101 119,,,,,,,1003,,,
b'1004 Chi-YuDark Fire 570 55 80 80 135 120 100',1006 Iron Valiant Fairy Fighting 590 74 130 90 120 60 116,,,,,,,1004,,,
b'1005 Roaring MoonDragon Dark 590 105 139 71 55 101 119',1007 KoraidonFighting Dragon 670 100 135 115 85 100 135,,,,,,,1005,,,
b'1006 Iron Valiant Fairy Fighting 590 74 130 90 120 60 116',1008 MiraidonElectric Dragon 670 100 85 100 135 115 135,,,,,,,1006,,,
b'1007 KoraidonFighting Dragon 670 100 135 115 85 100 135',101 Electrode Hisuian ElectrodeElectric Grass 490 60 50 70 80 80 150,,,,,,,1007,,,
b'1008 MiraidonElectric Dragon 670 100 85 100 135 115 135',101 ElectrodeElectric  490 60 50 70 80 80 150,,,,,,,1008,,,
b'101 Electrode Hisuian ElectrodeElectric Grass 490 60 50 70 80 80 150',102 ExeggcuteGrass Psychic 325 60 40 80 60 45 40,,,,,,,101 ,,,
b'101 ElectrodeElectric  490 60 50 70 80 80 150',103 Exeggutor Alolan ExeggutorGrass Dragon 530 95 105 85 125 75 45,,,,,,,101 ,,,
b'102 ExeggcuteGrass Psychic 325 60 40 80 60 45 40',103 ExeggutorGrass Psychic 530 95 95 85 125 75 55,,,,,,,102 ,,,
b'103 Exeggutor Alolan ExeggutorGrass Dragon 530 95 105 85 125 75 45',104 CuboneGround  320 50 50 95 40 50 35,,,,,,,103 ,,,
b'103 ExeggutorGrass Psychic 530 95 95 85 125 75 55',105 Marowak Alolan MarowakFire Ghost 425 60 80 110 50 80 45,,,,,,,103 ,,,
b'104 CuboneGround  320 50 50 95 40 50 35',105 MarowakGround  425 60 80 110 50 80 45,,,,,,,104 ,,,
b'105 Marowak Alolan MarowakFire Ghost 425 60 80 110 50 80 45',106 HitmonleeFighting  455 50 120 53 35 110 87,,,,,,,105 ,,,
b'105 MarowakGround  425 60 80 110 50 80 45',107 HitmonchanFighting  455 50 105 79 35 110 76,,,,,,,105 ,,,
b'106 HitmonleeFighting  455 50 120 53 35 110 87',108 LickitungNormal  385 90 55 75 60 75 30,,,,,,,106 ,,,
b'107 HitmonchanFighting  455 50 105 79 35 110 76',109 KoffingPoison  340 40 65 95 60 45 35,,,,,,,107 ,,,
b'108 LickitungNormal  385 90 55 75 60 75 30',110 Weezing Galarian WeezingPoison Fairy 490 65 90 120 85 70 60,,,,,,,108 ,,,
b'109 KoffingPoison  340 40 65 95 60 45 35',110 WeezingPoison  490 65 90 120 85 70 60,,,,,,,109 ,,,
b'110 Weezing Galarian WeezingPoison Fairy 490 65 90 120 85 70 60',111 RhyhornGround Rock 345 80 85 95 30 30 25,,,,,,,110 ,,,
b'110 WeezingPoison  490 65 90 120 85 70 60',112 RhydonGround Rock 485 105 130 120 45 45 40,,,,,,,110 ,,,
b'111 RhyhornGround Rock 345 80 85 95 30 30 25',113 ChanseyNormal  450 250 5 5 35 105 50,,,,,,,111 ,,,
b'112 RhydonGround Rock 485 105 130 120 45 45 40',114 TangelaGrass  435 65 55 115 100 40 60,,,,,,,112 ,,,
b'113 ChanseyNormal  450 250 5 5 35 105 50',115 KangaskhanNormal  490 105 95 80 40 80 90,,,,,,,113 ,,,
b'114 TangelaGrass  435 65 55 115 100 40 60',115 Mega Kangaskhan Normal  590 105 125 100 60 100 100,,,,,,,114 ,,,
b'115 KangaskhanNormal  490 105 95 80 40 80 90',116 HorseaWater  295 30 40 70 70 25 60,,,,,,,115 ,,,
b'115 Mega Kangaskhan Normal  590 105 125 100 60 100 100',117 SeadraWater  440 55 65 95 95 45 85,,,,,,,115 ,,,
b'116 HorseaWater  295 30 40 70 70 25 60',118 GoldeenWater  320 45 67 60 35 50 63,,,,,,,116 ,,,
b'117 SeadraWater  440 55 65 95 95 45 85',119 SeakingWater  450 80 92 65 65 80 68,,,,,,,117 ,,,
b'118 GoldeenWater  320 45 67 60 35 50 63',120 StaryuWater  340 30 45 55 70 55 85,,,,,,,118 ,,,
b'119 SeakingWater  450 80 92 65 65 80 68',121 StarmieWater Psychic 520 60 75 85 100 85 115,,,,,,,119 ,,,
b'120 StaryuWater  340 30 45 55 70 55 85',122 Mr. Mime Galarian Mr. MimeIce Psychic 460 50 65 65 90 90 100,,,,,,,120 ,,,
b'121 StarmieWater Psychic 520 60 75 85 100 85 115',122 Mr. MimePsychic Fairy 460 40 45 65 100 120 90,,,,,,,121 ,,,
b'122 Mr. Mime Galarian Mr. MimeIce Psychic 460 50 65 65 90 90 100',123 ScytherBug Flying 500 70 110 80 55 80 105,,,,,,,122 ,,,
b'122 Mr. MimePsychic Fairy 460 40 45 65 100 120 90',124 JynxIce Psychic 455 65 50 35 115 95 95,,,,,,,122 ,,,
b'123 ScytherBug Flying 500 70 110 80 55 80 105',125 ElectabuzzElectric  490 65 83 57 95 85 105,,,,,,,123 ,,,
b'124 JynxIce Psychic 455 65 50 35 115 95 95',126 MagmarFire  495 65 95 57 100 85 93,,,,,,,124 ,,,
b'125 ElectabuzzElectric  490 65 83 57 95 85 105',127 Mega Pinsir Bug Flying 600 65 155 120 65 90 105,,,,,,,125 ,,,
b'126 MagmarFire  495 65 95 57 100 85 93',127 PinsirBug  500 65 125 100 55 70 85,,,,,,,126 ,,,
b'127 Mega Pinsir Bug Flying 600 65 155 120 65 90 105',128 Tauros Aqua BreedFighting Water 490 75 110 105 30 70 100,,,,,,,127 ,,,
b'127 PinsirBug  500 65 125 100 55 70 85',128 Tauros Blaze BreedFighting Fire 490 75 110 105 30 70 100,,,,,,,127 ,,,
b'128 Tauros Aqua BreedFighting Water 490 75 110 105 30 70 100',128 Tauros Combat BreedFighting  490 75 110 105 30 70 100,,,,,,,128 ,,,
b'128 Tauros Blaze BreedFighting Fire 490 75 110 105 30 70 100',128 TaurosNormal  490 75 100 95 40 70 110,,,,,,,128 ,,,
b'128 Tauros Combat BreedFighting  490 75 110 105 30 70 100',129 MagikarpWater  200 20 10 55 15 20 80,,,,,,,128 ,,,
b'128 TaurosNormal  490 75 100 95 40 70 110',130 GyaradosWater Flying 540 95 125 79 60 100 81,,,,,,,128 ,,,
b'129 MagikarpWater  200 20 10 55 15 20 80',130 Mega Gyarados Water Dark 640 95 155 109 70 130 81,,,,,,,129 ,,,
b'130 GyaradosWater Flying 540 95 125 79 60 100 81',131 LaprasWater Ice 535 130 85 80 85 95 60,,,,,,,130 ,,,
b'130 Mega Gyarados Water Dark 640 95 155 109 70 130 81',132 DittoNormal  288 48 48 48 48 48 48,,,,,,,130 ,,,
b'131 LaprasWater Ice 535 130 85 80 85 95 60',133 Eevee Partner EeveeNormal  435 65 75 70 65 85 75,,,,,,,131 ,,,
b'132 DittoNormal  288 48 48 48 48 48 48',133 EeveeNormal  325 55 55 50 45 65 55,,,,,,,132 ,,,
b'133 Eevee Partner EeveeNormal  435 65 75 70 65 85 75',134 VaporeonWater  525 130 65 60 110 95 65,,,,,,,133 ,,,
b'133 EeveeNormal  325 55 55 50 45 65 55',135 JolteonElectric  525 65 65 60 110 95 130,,,,,,,133 ,,,
b'134 VaporeonWater  525 130 65 60 110 95 65',136 FlareonFire  525 65 130 60 95 110 65,,,,,,,134 ,,,
b'135 JolteonElectric  525 65 65 60 110 95 130',137 PorygonNormal  395 65 60 70 85 75 40,,,,,,,135 ,,,
b'136 FlareonFire  525 65 130 60 95 110 65',138 OmanyteRock Water 355 35 40 100 90 55 35,,,,,,,136 ,,,
b'137 PorygonNormal  395 65 60 70 85 75 40',139 OmastarRock Water 495 70 60 125 115 70 55,,,,,,,137 ,,,
b'138 OmanyteRock Water 355 35 40 100 90 55 35',140 KabutoRock Water 355 30 80 90 55 45 55,,,,,,,138 ,,,
b'139 OmastarRock Water 495 70 60 125 115 70 55',141 KabutopsRock Water 495 60 115 105 65 70 80,,,,,,,139 ,,,
